raceId,driverId,stop,lap,duration,milliseconds
844,4,4,46,513:05:46,21379
844,813,4,45,334:12:00,13925
844,1,4,46,528:59:02,22041
844,2,4,46,525:12:58,21884
844,13,4,46,640:26:24,26685
844,20,4,47,491:44:10,20489
844,39,3,45,587:22:34,24474
844,5,3,53,554:44:10,23114
844,153,4,55,526:20:38,21931
845,155,1,1,596:54:14,24871
845,815,1,7,566:12:29,23592
845,813,1,8,544:32:10,22689
845,20,1,9,486:04:19,20253
845,67,1,9,499:37:55,20818
845,4,1,10,493:36:29,20567
845,17,1,10,501:08:38,20881
845,30,1,10,482:00:58,20084
845,1,1,11,474:15:50,19761
845,808,1,11,524:32:38,21856
845,3,1,11,495:31:41,20647
845,13,1,11,499:12:00,20800
845,153,1,11,497:47:02,20741
845,22,1,11,718:27:50,29936
845,16,1,13,498:33:07,20773
845,18,1,14,480:21:36,20015
845,39,1,14,596:13:55,24843
845,814,1,15,481:40:48,20070
845,15,1,15,536:44:10,22364
845,5,1,16,504:27:22,21019
845,24,1,16,555:46:05,23157
845,10,1,16,545:51:22,22744
845,816,1,17,556:13:26,23176
845,20,2,18,477:17:17,19887
845,4,2,19,485:42:43,20238
845,17,2,19,481:53:46,20079
845,813,2,20,595:42:14,24821
845,13,2,21,519:14:24,21635
845,2,1,21,511:43:41,21322
845,1,2,23,485:38:24,20235
845,22,2,23,509:25:26,21226
845,153,2,24,500:55:41,20872
845,67,2,25,593:52:48,24745
845,155,2,25,507:04:19,21128
845,30,2,26,491:41:17,20487
845,808,2,26,581:34:05,24232
845,3,2,27,468:48:58,19534
845,4,3,29,497:42:43,20738
845,17,3,29,486:41:46,20279
845,5,2,28,499:22:05,20807
845,815,2,29,507:25:55,21143
845,15,2,29,521:21:07,21723
845,39,2,28,586:45:07,24448
845,18,2,30,498:18:43,20763
845,16,2,30,486:24:29,20267
845,814,2,32,483:01:26,20126
845,20,3,34,490:13:26,20426
845,1,3,35,491:21:07,20473
845,816,2,34,551:34:05,22982
845,22,3,35,495:36:00,20650
845,13,3,36,538:03:22,22419
845,813,3,36,517:46:34,21574
845,2,2,36,526:52:19,21953
845,153,3,36,504:27:22,21019
845,4,4,39,489:07:12,20380
845,10,2,38,519:10:05,21632
845,30,3,41,490:49:26,20451
845,808,3,41,521:44:10,21739
845,5,3,41,553:37:55,23068
845,3,3,42,489:28:48,20395
845,67,3,42,499:39:22,20819
845,15,3,43,552:01:26,23001
845,155,3,44,492:00:00,20500
845,17,4,47,479:36:58,19984
845,20,4,48,487:00:29,20292
845,815,3,47,523:53:46,21829
845,18,3,48,482:34:05,20107
845,1,4,49,503:42:43,20988
845,16,3,48,557:31:12,23230
845,39,3,47,583:09:07,24298
845,2,3,50,499:06:14,20796
845,153,4,50,555:25:55,23143
845,816,3,49,520:59:31,21708
845,814,3,51,493:45:07,20573
845,813,4,53,529:50:53,22077
845,10,3,53,508:04:48,21170
845,22,4,54,495:17:17,20637
846,30,1,12,842:00:58,35084
846,18,1,15,606:43:12,25280
846,3,1,15,604:32:10,25189
846,20,1,16,684:51:50,28536
846,17,1,16,905:38:24,37735
846,4,1,17,608:26:53,25352
846,5,1,19,635:26:53,26477
846,814,1,20,599:16:48,24970
846,1,1,22,754:40:48,31445
846,10,1,22,643:50:53,26827
846,15,1,24,614:16:48,25595
846,813,1,25,635:13:55,26468
846,13,1,26,638:45:36,26615
846,39,1,25,679:48:00,28325
846,814,2,27,464:38:24,19360
846,808,1,28,692:32:38,28856
846,153,1,29,621:46:05,25907
846,22,1,32,622:06:14,25921
846,18,2,33,634:06:14,26421
846,814,3,32,1133:25:26,47226
846,2,1,33,620:25:26,25851
846,67,1,33,625:45:07,26073
846,4,2,34,753:10:05,31382
846,3,2,33,607:26:24,25310
846,24,1,32,679:09:07,28298
846,816,1,33,661:50:53,27577
846,155,1,34,687:24:29,28642
846,16,1,34,600:53:17,25037
846,39,2,33,958:00:29,39917
