date_id,full_date,day,month,month_name,quarter,year,weekday,weekday_name,is_weekend,is_holiday
19980329,1998-03-29,29,3,March,1,1998,7,Sunday,True,False
19980412,1998-04-12,12,4,April,2,1998,7,Sunday,True,False
19980426,1998-04-26,26,4,April,2,1998,7,Sunday,True,False
19980510,1998-05-10,10,5,May,2,1998,7,Sunday,True,False
19980524,1998-05-24,24,5,May,2,1998,7,Sunday,True,False
19980607,1998-06-07,7,6,June,2,1998,7,Sunday,True,False
19980628,1998-06-28,28,6,June,2,1998,7,Sunday,True,False
19980712,1998-07-12,12,7,July,3,1998,7,Sunday,True,False
19980726,1998-07-26,26,7,July,3,1998,7,Sunday,True,False
19980802,1998-08-02,2,8,August,3,1998,7,Sunday,True,False
19980816,1998-08-16,16,8,August,3,1998,7,Sunday,True,False
19980830,1998-08-30,30,8,August,3,1998,7,Sunday,True,False
19980913,1998-09-13,13,9,September,3,1998,7,Sunday,True,False
19980927,1998-09-27,27,9,September,3,1998,7,Sunday,True,False
19981101,1998-11-01,1,11,November,4,1998,7,Sunday,True,False
19970309,1997-03-09,9,3,March,1,1997,7,Sunday,True,False
19970330,1997-03-30,30,3,March,1,1997,7,Sunday,True,False
19970413,1997-04-13,13,4,April,2,1997,7,Sunday,True,False
19970427,1997-04-27,27,4,April,2,1997,7,Sunday,True,False
19970511,1997-05-11,11,5,May,2,1997,7,Sunday,True,False
19970525,1997-05-25,25,5,May,2,1997,7,Sunday,True,False
19970615,1997-06-15,15,6,June,2,1997,7,Sunday,True,False
19970629,1997-06-29,29,6,June,2,1997,7,Sunday,True,False
19970713,1997-07-13,13,7,July,3,1997,7,Sunday,True,False
19970727,1997-07-27,27,7,July,3,1997,7,Sunday,True,False
19970810,1997-08-10,10,8,August,3,1997,7,Sunday,True,False
19970824,1997-08-24,24,8,August,3,1997,7,Sunday,True,False
19970907,1997-09-07,7,9,September,3,1997,7,Sunday,True,False
19970921,1997-09-21,21,9,September,3,1997,7,Sunday,True,False
19970928,1997-09-28,28,9,September,3,1997,7,Sunday,True,False
19971012,1997-10-12,12,10,October,4,1997,7,Sunday,True,False
19971026,1997-10-26,26,10,October,4,1997,7,Sunday,True,False
19960310,1996-03-10,10,3,March,1,1996,7,Sunday,True,False
19960331,1996-03-31,31,3,March,1,1996,7,Sunday,True,False
19960407,1996-04-07,7,4,April,2,1996,7,Sunday,True,False
19960428,1996-04-28,28,4,April,2,1996,7,Sunday,True,False
19960505,1996-05-05,5,5,May,2,1996,7,Sunday,True,False
19960519,1996-05-19,19,5,May,2,1996,7,Sunday,True,False
19960602,1996-06-02,2,6,June,2,1996,7,Sunday,True,False
19960616,1996-06-16,16,6,June,2,1996,7,Sunday,True,False
19960630,1996-06-30,30,6,June,2,1996,7,Sunday,True,False
19960714,1996-07-14,14,7,July,3,1996,7,Sunday,True,False
19960728,1996-07-28,28,7,July,3,1996,7,Sunday,True,False
19960811,1996-08-11,11,8,August,3,1996,7,Sunday,True,False
